Product SKU;Product Name;Product URL;Description;Weight;Height;Width;Length;Featured Image
SIWS-152;"Inflatable Water Slides &#8211; Model  C";http://35.161.218.27/wordpress/wordpress/index.php/product/inflatable-water-slides-model-c/;"WEIGHT: 350LBS

HEIGHT: 18'

WIDTH: 10'

LENGTH: 37'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIWS-152.jpg
SIWS-125;"Inflatable Water Slides &#8211; Model  B";http://35.161.218.27/wordpress/wordpress/index.php/product/inflatable-water-slides-model-b/;"WEIGHT: 350LBS

HEIGHT: 16'

WIDTH: 9'

LENGTH: 33'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIWS-125.jpg
SIWS-170;"Water Slide & Slip&#8217;n Slide Combo";http://35.161.218.27/wordpress/wordpress/index.php/product/water-slide-slipn-slide-combo/;"WEIGHT: 800LBS

HEIGHT: 19'

WIDTH: 17'

LENGTH: 43'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIWS-170.jpg
SIWS-184;"Inflatable Water Slides &#8211; Model A";http://35.161.218.27/wordpress/wordpress/index.php/product/inflatable-water-slides-model-a/;"WEIGHT: 2400LBS

HEIGHT: 25'

WIDTH: 19'

LENGTH: 75'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIWS-184.jpg
SIC-187;Bounce House Combo 88;http://35.161.218.27/wordpress/wordpress/index.php/product/bounce-house-combo-88/;"WEIGHT:

HEIGHT: 24'

WIDTH: 15'

LENGTH: 55'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-187.jpg
SIC-213;Ultra Mini Combo 10;http://35.161.218.27/wordpress/wordpress/index.php/product/ultra-mini-combo-10/;"WEIGHT: 165LBS

HEIGHT: 15'

WIDTH: 11'

LENGTH: 18'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-213.jpg
SIC-212;Ultra Mini Combo 9;http://35.161.218.27/wordpress/wordpress/index.php/product/ultra-mini-combo-9/;"WEIGHT: 165LBS

HEIGHT: 15'

WIDTH: 11'

LENGTH: 18'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-212.jpg
SIC-211;Ultra Mini Combo 8;http://35.161.218.27/wordpress/wordpress/index.php/product/ultra-mini-combo-8/;"WEIGHT: 165LBS

HEIGHT: 15'

WIDTH: 11'

LENGTH: 18'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-211.jpg
SIC-210;Ultra Mini Combo 7;http://35.161.218.27/wordpress/wordpress/index.php/product/ultra-mini-combo-7/;"WEIGHT: 165LBS

HEIGHT: 15'

WIDTH: 11'

LENGTH: 18'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-210.jpg
SIC-209;Ultra Mini Combo 6;http://35.161.218.27/wordpress/wordpress/index.php/product/ultra-mini-combo-6/;"WEIGHT: 165LBS

HEIGHT: 15'

WIDTH: 11'

LENGTH: 18'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-209.jpg
SIC-208;Ultra Mini Combo 5;http://35.161.218.27/wordpress/wordpress/index.php/product/ultra-mini-combo-5/;"WEIGHT: 165LBS

HEIGHT: 15'

WIDTH: 11'

LENGTH: 18'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-208.png
SIC-207;Ultra Mini Combo 4;http://35.161.218.27/wordpress/wordpress/index.php/product/ultra-mini-combo-4/;"WEIGHT: 165LBS

HEIGHT: 15'

WIDTH: 11'

LENGTH: 18'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-207.jpg
SIC-206;Ultra Mini Combo 3;http://35.161.218.27/wordpress/wordpress/index.php/product/ultra-mini-combo-3/;"WEIGHT: 165LBS

HEIGHT: 15'

WIDTH: 11'

LENGTH: 18'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-206.jpg
SIC-205;Ultra Mini Combo 2;http://35.161.218.27/wordpress/wordpress/index.php/product/ultra-mini-combo-2/;"WEIGHT: 165LBS

HEIGHT: 15'

WIDTH: 11'

LENGTH: 18'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-205.jpg
SIC-204;Ultra Mini Combo 1;http://35.161.218.27/wordpress/wordpress/index.php/product/ultra-mini-combo-1/;"WEIGHT: 165LBS

HEIGHT: 15'

WIDTH: 11'

LENGTH: 18'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-204.jpg
SIC-165;Mini Basketball Combo;http://35.161.218.27/wordpress/wordpress/index.php/product/mini-basketball-combo/;"WEIGHT: 225LBS

HEIGHT: 15'

WIDTH: 15'

LENGTH: 15'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-165.jpg
SIC-169;Mini Princess Combo;http://35.161.218.27/wordpress/wordpress/index.php/product/mini-princess-combo/;"WEIGHT: 235LBS

HEIGHT: 15'

WIDTH: 13'

LENGTH: 18'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-169.jpg
SIC-170;Mini Balloon Combo;http://35.161.218.27/wordpress/wordpress/index.php/product/mini-balloon-combo/;"WEIGHT: 235LBS

HEIGHT: 15'

WIDTH: 13'

LENGTH: 18'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-170.jpg
SIC-168;Mini Jungle Combo;http://35.161.218.27/wordpress/wordpress/index.php/product/mini-jungle-combo/;"WEIGHT: 235LBS

HEIGHT: 15'

WIDTH: 13'

LENGTH: 18'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-168.jpg
SIC-231;"Bounce House Combo 109 &#8211; Model B";http://35.161.218.27/wordpress/wordpress/index.php/product/bounce-house-combo-109-2/;"WEIGHT: 425LBS

HEIGHT: 16'

WIDTH: 18'

LENGTH: 18'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-231.jpg
SIC-230;"Bounce House Combo 108 &#8211; Model B";http://35.161.218.27/wordpress/wordpress/index.php/product/bounce-house-combo-108-2/;"WEIGHT: 425LBS

HEIGHT: 16'

WIDTH: 18'

LENGTH: 18'";;;;;http://35.161.218.27/wordpress/wordpress/wp-content/uploads/2016/11/SIC-230.jpg
